Hostname,RunList
chefosa2101.softlayer.local,"role[fabric_fleet_base]"
chefosa2201.softlayer.local,"role[fabric_fleet_base]"
chefpar0101.softlayer.local,"role[fabric_fleet_base]"
chefpar0401.softlayer.local,"role[chef_server_bnpp]"
chefsao0101.softlayer.local,"role[fabric_fleet_base]"
chefsao0401.softlayer.local,"role[fabric_fleet_base]"
chefsyd0101.softlayer.local,"role[fabric_fleet_base]"
chefsyd0401.softlayer.local,"role[fabric_fleet_base]"
cheftestdal1001.softlayer.local,"role[fabric_fleet_base]"
cheftestdal1008.softlayer.local,"role[fabric_fleet_base]"
cheftok0201.softlayer.local,"role[fabric_fleet_base]"
cheftok0401.softlayer.local,"role[fabric_fleet_base]"
cheftor0101.softlayer.local,"role[fabric_fleet_base]"
cheftor0401.softlayer.local,"role[fabric_base]"
chefwdc0401.softlayer.local,"role[fabric_fleet_base]"
chefwdc0601.softlayer.local,"role[fabric_chef_server_regional]"
cloudstorams0301.softlayer.local,"role[cloudstor]"
cloudstorams0302.softlayer.local,"role[cloudstor]"
cloudstorams0303.softlayer.local,"role[cloudstor]"
cloudstorche0101.softlayer.local,"role[cloudstor]"
cloudstorche0102.softlayer.local,"role[cloudstor]"
cloudstorche0103.softlayer.local,"role[cloudstor]"
cloudstordal0901.softlayer.local,"role[cloudstor]"
cloudstordal0902.softlayer.local,"role[cloudstor]"
cloudstordal0903.softlayer.local,"role[cloudstor]"
cloudstordal0904.softlayer.local,"role[cloudstor]"
cloudstordal1001.softlayer.local,"role[cloudstor]"
cloudstordal1002.softlayer.local,"role[cloudstor]"
cloudstordal1003.softlayer.local,"role[cloudstor]"
cloudstordal1201.softlayer.local,"role[cloudstor]"
cloudstordal1202.softlayer.local,"role[cloudstor]"
cloudstordal1203.softlayer.local,"role[cloudstor]"
cloudstordal1204.softlayer.local,"role[cloudstor]"
cloudstordal1301.softlayer.local,"role[cloudstor]"
cloudstordal1302.softlayer.local,"role[cloudstor]"
cloudstordal1303.softlayer.local,"role[cloudstor]"
cloudstordal1401.softlayer.local,"role[cloudstor]"
cloudstordal1402.softlayer.local,"role[cloudstor]"
cloudstordal1403.softlayer.local,"role[cloudstor]"
cloudstorfra0201.softlayer.local,"role[cloudstor]"
cloudstorfra0202.softlayer.local,"role[cloudstor]"
cloudstorfra0203.softlayer.local,"role[cloudstor]"
cloudstorfra0401.softlayer.local,"role[cloudstor]"
cloudstorfra0402.softlayer.local,"role[cloudstor]"
cloudstorfra0403.softlayer.local,"role[cloudstor]"
cloudstorfra0501.softlayer.local,"role[cloudstor]"
cloudstorfra0502.softlayer.local,"role[cloudstor]"
cloudstorfra0503.softlayer.local,"role[cloudstor]"
cloudstorlon0201.softlayer.local,"role[cloudstor]"
cloudstorlon0202.softlayer.local,"role[cloudstor]"
cloudstorlon0203.softlayer.local,"role[cloudstor]"
cloudstorlon0401.softlayer.local,"role[cloudstor]"
cloudstorlon0402.softlayer.local,"role[cloudstor]"
cloudstorlon0403.softlayer.local,"role[cloudstor]"
cloudstorlon0501.softlayer.local,"role[cloudstor]"
cloudstorlon0502.softlayer.local,"role[cloudstor]"
cloudstorlon0503.softlayer.local,"role[cloudstor]"
cloudstorlon0601.softlayer.local,"role[cloudstor]"
cloudstorlon0602.softlayer.local,"role[cloudstor]"
cloudstorlon0603.softlayer.local,"role[cloudstor]"
cloudstormad0201.softlayer.local,"role[cloudstor]"
cloudstormad0202.softlayer.local,"role[cloudstor]"
cloudstormad0203.softlayer.local,"role[cloudstor]"
cloudstormad0401.softlayer.local,"role[cloudstor]"
cloudstormad0402.softlayer.local,"role[cloudstor]"
cloudstormad0403.softlayer.local,"role[cloudstor]"
cloudstormad0501.softlayer.local,"role[cloudstor]"
cloudstormad0502.softlayer.local,"role[cloudstor]"
cloudstormad0503.softlayer.local,"role[cloudstor]"
cloudstormon0101.softlayer.local,"role[cloudstor]"
cloudstormon0102.softlayer.local,"role[cloudstor]"
cloudstormon0103.softlayer.local,"role[cloudstor]"
cloudstorosa2101.softlayer.local,"role[cloudstor]"
cloudstorosa2102.softlayer.local,"role[cloudstor]"
cloudstorosa2103.softlayer.local,"role[cloudstor]"
cloudstorosa2201.softlayer.local,"role[cloudstor]"
cloudstorosa2202.softlayer.local,"role[cloudstor]"
cloudstorosa2203.softlayer.local,"role[cloudstor]"
cloudstorosa2301.softlayer.local,"role[cloudstor]"
cloudstorosa2302.softlayer.local,"role[cloudstor]"
cloudstorosa2303.softlayer.local,"role[cloudstor]"
cloudstorpar0101.softlayer.local,"role[cloudstor]"
cloudstorpar0102.softlayer.local,"role[cloudstor]"
cloudstorpar0103.softlayer.local,"role[cloudstor]"
cloudstorpar0401.softlayer.local,"role[cloudstor]"
cloudstorpar0402.softlayer.local,"role[cloudstor]"
cloudstorpar0403.softlayer.local,"role[cloudstor]"
cloudstorpar0501.softlayer.local,"role[cloudstor]"
cloudstorpar0502.softlayer.local,"role[cloudstor]"
cloudstorpar0503.softlayer.local,"role[cloudstor]"
cloudstorpar0601.softlayer.local,"role[cloudstor]"
cloudstorpar0602.softlayer.local,"role[cloudstor]"
cloudstorpar0603.softlayer.local,"role[cloudstor]"
cloudstorsao0101.softlayer.local,"role[cloudstor]"
cloudstorsao0102.softlayer.local,"role[cloudstor]"
cloudstorsao0103.softlayer.local,"role[cloudstor]"
cloudstorsao0401.softlayer.local,"role[cloudstor]"
cloudstorsao0402.softlayer.local,"role[cloudstor]"
cloudstorsao0403.softlayer.local,"role[cloudstor]"
cloudstorsao0501.softlayer.local,"role[cloudstor]"
cloudstorsao0502.softlayer.local,"role[cloudstor]"
cloudstorsao0503.softlayer.local,"role[cloudstor]"
cloudstorsjc0301.softlayer.local,"role[cloudstor]"
cloudstorsjc0302.softlayer.local,"role[cloudstor]"
cloudstorsjc0303.softlayer.local,"role[cloudstor]"
cloudstorsjc0401.softlayer.local,"role[cloudstor]"
cloudstorsjc0402.softlayer.local,"role[cloudstor]"
cloudstorsjc0403.softlayer.local,"role[cloudstor]"
cloudstorsng0101.softlayer.local,"role[cloudstor]"
cloudstorsng0102.softlayer.local,"role[cloudstor]"
cloudstorsng0103.softlayer.local,"role[cloudstor]"
cloudstorsyd0101.softlayer.local,"role[cloudstor]"
cloudstorsyd0102.softlayer.local,"role[cloudstor]"
cloudstorsyd0103.softlayer.local,"role[cloudstor]"
cloudstorsyd0401.softlayer.local,"role[cloudstor]"
cloudstorsyd0402.softlayer.local,"role[cloudstor]"
